symbol,trade_date,open_price,high_price,low_price,close_price,volume
NVDA,2026-02-17,181.7402,187.1399,179.1703,184.96,162276900
NVDA,2026-02-18,188.7398,190.3597,186.7499,187.9698,164749100
NVDA,2026-02-19,187.0499,188.4198,185.65,187.8898,126554500
NVDA,2026-02-20,186.5599,190.3197,185.9299,189.8097,178422300
NVDA,2026-02-23,191.3896,193.9395,189.5697,191.5396,171584800
NVDA,2026-02-24,191.4796,193.7595,187.3899,192.8396,175123600
NVDA,2026-02-25,194.4395,197.6193,193.7795,195.5494,250637100
NVDA,2026-02-26,194.2595,194.2795,184.31,184.88,360807900
NVDA,2026-02-27,181.2402,182.5801,176.3705,177.1804,311636500
NVDA,2026-03-02,175.0005,183.4501,174.6306,182.4701,209095300
NVDA,2026-03-03,178.4803,180.8902,176.9104,180.0403,178099400
NVDA,2026-03-04,180.4302,184.69,180.0503,183.0301,177731200
NVDA,2026-03-05,181.1602,184.05,177.8704,183.3301,198779700
NVDA,2026-03-06,179.8303,182.7501,176.8104,177.8104,189021900
NVDA,2026-03-09,176.8204,182.9001,175.5505,182.6401,177213600
NVDA,2026-03-10,182.3901,186.4299,182.0001,184.76,179118500
NVDA,2026-03-11,185.91,187.62,184.45,186.03,145280400
NVDA,2026-03-12,184.05,184.94,181.75,183.14,155762700
NVDA,2026-03-13,184.91,186.09,179.94,180.25,160988424
AAPL,2026-02-17,258.05,266.29,255.54,263.88,58469100
AAPL,2026-02-18,263.6,266.82,262.45,264.35,34203300
AAPL,2026-02-19,262.6,264.48,260.05,260.58,30845300
AAPL,2026-02-20,258.97,264.75,258.16,264.58,42070500
AAPL,2026-02-23,263.49,269.43,263.38,266.18,37308200
AAPL,2026-02-24,267.86,274.89,267.71,272.14,47014600
AAPL,2026-02-25,271.78,274.94,271.05,274.23,33714300
AAPL,2026-02-26,274.95,276.11,270.8,272.95,32345100
AAPL,2026-02-27,272.81,272.81,262.89,264.18,72366500
AAPL,2026-03-02,262.41,266.53,260.2,264.72,41827900
AAPL,2026-03-03,263.48,265.56,260.13,263.75,38568900
AAPL,2026-03-04,264.65,266.15,261.42,262.52,39803100
AAPL,2026-03-05,260.79,261.56,257.25,260.29,49658600
AAPL,2026-03-06,258.63,258.77,254.37,257.46,41120000
AAPL,2026-03-09,255.69,261.15,253.68,259.88,38218500
AAPL,2026-03-10,257.65,262.48,256.95,260.83,30590800
AAPL,2026-03-11,261.09,262.13,259.55,260.81,26218900
AAPL,2026-03-12,258.66,258.95,254.18,255.76,40794000
AAPL,2026-03-13,255.4,256.33,249.52,250.12,36929988
TSLA,2026-02-17,412.36,413.72,400.51,410.63,59678800
TSLA,2026-02-18,411.11,416.9,409.58,411.32,45921400
TSLA,2026-02-19,407.25,415.25,404.11,411.71,51019600
TSLA,2026-02-20,408.3,414.7,405.5,411.82,57912200
TSLA,2026-02-23,407.29,407.7,394.04,399.83,69680000
TSLA,2026-02-24,399.5,410.82,397.64,409.38,58579500
TSLA,2026-02-25,412.15,420.34,412.15,417.4,54809700
TSLA,2026-02-26,414.42,416.81,403.66,408.58,53602500
TSLA,2026-02-27,402.94,407.12,398.11,402.51,56890100
TSLA,2026-03-02,390.6,404.54,388.25,403.32,55088300
TSLA,2026-03-03,395.09,396.34,385.39,392.43,62617300
TSLA,2026-03-04,397.85,408.33,394.58,405.94,68305500
TSLA,2026-03-05,401.57,408.62,399.42,405.55,51925900
TSLA,2026-03-06,398.09,402.35,394.21,396.73,64054600
TSLA,2026-03-09,390.05,401.59,381.4,398.68,67018900
TSLA,2026-03-10,402.22,406.59,398.19,399.24,59258700
TSLA,2026-03-11,402.28,416.38,402.15,407.82,62559900
TSLA,2026-03-12,405.18,406.5,394.65,395.01,60973800
TSLA,2026-03-13,399.165,400.16,389.95,391.2,58504091
GOOGL,2026-02-17,299.8289,304.2258,296.0416,301.8075,39247600
GOOGL,2026-02-18,301.8775,305.1652,301.0381,303.1166,28482100
GOOGL,2026-02-19,301.6077,305.2551,299.8289,302.637,25834400
GOOGL,2026-02-20,304.1059,316.2773,303.6862,314.7584,53210800
GOOGL,2026-02-23,318.8256,319.2952,309.652,311.2709,31423000
GOOGL,2026-02-24,310.3016,312.0503,305.7148,310.6813,25615600
GOOGL,2026-02-25,311.8405,313.4194,309.2223,312.6799,29963600
GOOGL,2026-02-26,312.4201,312.9197,302.1373,307.1638,36431200
GOOGL,2026-02-27,303.9261,312.1503,303.5863,311.5407,44640600
GOOGL,2026-03-02,303.0167,308.273,301.088,306.3044,34790200
GOOGL,2026-03-03,298.3799,303.7262,296.5013,303.3664,35497000
GOOGL,2026-03-04,302.677,305.2551,300.5384,302.9168,29536200
GOOGL,2026-03-05,302.8268,303.0866,297.7804,300.6683,35752300
GOOGL,2026-03-06,295.8817,300.3186,294.9724,298.31,25576900
GOOGL,2026-03-09,294.36,306.8,294.08,306.36,29312100
GOOGL,2026-03-10,306.17,309.51,305.57,307.04,23239700
GOOGL,2026-03-11,306.75,311.42,305.92,308.7,24125700
GOOGL,2026-03-12,306.82,308.94,301.03,303.55,24928300
GOOGL,2026-03-13,307.18,307.615,300.44,302.28,23693092
AMZN,2026-02-17,198.13,201.74,196.0,201.15,69879200
AMZN,2026-02-18,202.07,206.86,201.51,204.79,51003300
AMZN,2026-02-19,203.8,205.64,202.81,204.86,35669600
AMZN,2026-02-20,204.76,211.17,203.75,210.11,65881600
AMZN,2026-02-23,208.1,208.43,203.11,205.27,53581500
AMZN,2026-02-24,205.47,210.36,203.25,208.56,41137200
AMZN,2026-02-25,210.46,211.59,208.93,210.64,41346400
AMZN,2026-02-26,210.73,211.05,205.35,207.92,47756800
AMZN,2026-02-27,206.83,210.33,205.2,210.0,57422800
AMZN,2026-03-02,204.55,209.73,203.46,208.39,46001000
AMZN,2026-03-03,203.1,209.18,202.48,208.73,43184900
AMZN,2026-03-04,210.47,217.54,210.15,216.82,54731100
AMZN,2026-03-05,215.98,220.47,215.59,218.94,60943400
AMZN,2026-03-06,214.99,217.32,212.53,213.21,51152700
AMZN,2026-03-09,210.45,213.82,207.11,213.49,54642900
AMZN,2026-03-10,214.19,215.65,212.43,214.33,35678800
AMZN,2026-03-11,215.71,217.0,211.35,212.65,34199300
AMZN,2026-03-12,210.39,211.71,208.15,209.53,44349500
AMZN,2026-03-13,209.4,210.56,206.22,207.67,35662137
MSFT,2026-02-17,398.3109,399.6079,393.6316,395.9562,32078800
MSFT,2026-02-18,397.2233,401.6433,395.4175,398.69,23223400
MSFT,2026-02-19,400.69,404.43,396.67,398.46,28234000
MSFT,2026-02-20,396.11,400.12,395.16,397.23,34015200
MSFT,2026-02-23,395.0,395.36,383.1,384.47,43238300
MSFT,2026-02-24,384.14,389.36,381.71,389.0,33884700
MSFT,2026-02-25,390.53,401.47,390.16,400.6,43625500
MSFT,2026-02-26,404.71,407.49,398.74,401.72,34405900
MSFT,2026-02-27,390.88,396.82,389.88,392.74,51367200
MSFT,2026-03-02,392.86,401.19,390.63,398.55,35474900
MSFT,2026-03-03,393.14,406.7,392.67,403.93,38199200
MSFT,2026-03-04,401.27,411.03,400.31,405.2,35808000
MSFT,2026-03-05,404.42,411.61,404.4,410.68,39001300
MSFT,2026-03-06,409.2,413.05,408.51,408.96,31123900
MSFT,2026-03-09,404.92,410.21,403.5,409.41,30131900
MSFT,2026-03-10,410.03,410.2,402.93,405.76,31706400
MSFT,2026-03-11,405.57,409.01,401.59,404.88,25512100
MSFT,2026-03-12,404.63,406.12,401.71,401.86,27263900
MSFT,2026-03-13,400.72,404.8,394.25,395.55,26350249
META,2026-02-17,639.5,642.6,628.8,639.29,12674700
META,2026-02-18,633.8,645.0,628.15,643.22,14649200
META,2026-02-19,638.57,647.19,636.72,644.78,10035700
META,2026-02-20,639.69,663.35,638.78,655.66,14183500
META,2026-02-23,652.54,657.7,636.0,637.25,8605900
META,2026-02-24,633.08,641.11,628.98,639.3,10135600
META,2026-02-25,642.53,653.88,642.14,653.69,11330700
META,2026-02-26,650.55,661.0,647.5,657.01,10637700
META,2026-02-27,643.45,649.44,638.12,648.18,15703000
META,2026-03-02,637.16,659.94,634.5,653.56,9816100
META,2026-03-03,648.29,659.04,638.84,655.08,12263800
META,2026-03-04,657.96,672.77,657.67,667.73,10810100
META,2026-03-05,661.93,670.7,650.31,660.57,13341400
META,2026-03-06,647.9,649.47,636.11,644.86,13159400
META,2026-03-09,634.78,647.75,626.78,647.39,13489700
META,2026-03-10,653.56,660.3,649.0,654.07,9859300
META,2026-03-11,654.76,659.12,648.36,654.86,8977200
META,2026-03-12,648.75,653.5,636.9,638.18,11617500
META,2026-03-13,623.27,629.1699,609.55,613.71,18957637
AAL,2026-02-17,13.96,14.56,13.94,14.4,41742300
AAL,2026-02-18,14.03,14.3,13.66,14.1,63274100
AAL,2026-02-19,13.92,13.94,13.28,13.35,63955600
AAL,2026-02-20,13.35,13.71,13.33,13.59,56789800
AAL,2026-02-23,13.5,13.74,12.84,12.93,48145800
AAL,2026-02-24,12.93,13.34,12.89,13.15,64755900
AAL,2026-02-25,13.23,13.36,13.04,13.32,50424900
AAL,2026-02-26,13.58,14.17,13.56,13.94,94386700
AAL,2026-02-27,13.42,13.44,12.98,13.07,93030400
AAL,2026-03-02,12.31,12.63,12.11,12.52,87714400
AAL,2026-03-03,12.06,12.77,11.77,12.46,97759200
AAL,2026-03-04,12.74,12.93,12.4,12.46,66960500
AAL,2026-03-05,12.02,12.22,11.53,11.79,126081900
AAL,2026-03-06,11.35,11.41,11.08,11.18,100933600
AAL,2026-03-09,10.89,11.48,10.43,11.44,153143100
AAL,2026-03-10,11.39,11.6,10.89,11.11,129253100
AAL,2026-03-11,11.12,11.35,10.96,11.04,90726200
AAL,2026-03-12,10.73,10.83,10.51,10.55,112427500
AAL,2026-03-13,10.61,10.65,10.26,10.3,103929696
INTC,2026-02-17,45.93,46.83,45.46,46.18,65802200
INTC,2026-02-18,45.92,46.77,44.88,45.46,65306100
INTC,2026-02-19,44.95,45.17,43.92,44.62,72724900
INTC,2026-02-20,43.89,44.39,42.88,44.11,90743600
INTC,2026-02-23,44.09,44.55,43.18,43.63,57130900
INTC,2026-02-24,44.1,46.6,43.54,46.12,98872300
INTC,2026-02-25,46.09,46.97,45.08,46.88,75645300
INTC,2026-02-26,46.77,46.95,44.39,45.46,71457500
INTC,2026-02-27,44.46,46.56,44.4,45.61,79327200
INTC,2026-03-02,44.2,45.81,43.95,45.5,60705100
INTC,2026-03-03,43.44,43.69,42.14,43.1,83971000
INTC,2026-03-04,44.07,46.13,43.27,45.58,96628100
INTC,2026-03-05,44.87,46.48,44.7,45.95,78229400
INTC,2026-03-06,44.67,45.18,43.28,43.42,74698300
INTC,2026-03-09,42.74,45.76,41.64,45.58,82937400
INTC,2026-03-10,45.41,47.88,45.41,46.78,85233300
INTC,2026-03-11,46.82,48.83,46.66,47.98,72480600
INTC,2026-03-12,47.4,47.44,45.17,45.25,85110200
INTC,2026-03-13,45.95,46.65,45.39,45.77,67145310
PLTR,2026-02-17,128.895,134.32,127.29,133.02,48407100
PLTR,2026-02-18,135.89,140.963,134.87,135.38,59677100
PLTR,2026-02-19,132.31,136.16,131.01,134.89,42197200
PLTR,2026-02-20,132.365,136.21,131.17,135.24,53726800
PLTR,2026-02-23,132.04,132.04,127.39,130.6,52512200
PLTR,2026-02-24,129.005,130.24,126.37,128.84,47121400
PLTR,2026-02-25,130.61,136.09,129.18,134.19,53078300
PLTR,2026-02-26,133.845,137.51,132.63,135.94,45100000
PLTR,2026-02-27,134.07,138.1,133.98,137.19,59412400
PLTR,2026-03-02,140.775,147.14,140.52,145.17,72683900
PLTR,2026-03-03,142.1,147.5,138.2,147.22,67460200
PLTR,2026-03-04,148.43,154.52,148.06,153.19,60062200
PLTR,2026-03-05,152.94,156.38,149.61,152.67,50714500
PLTR,2026-03-06,150.44,161.45,150.29,157.16,74980900
PLTR,2026-03-09,155.69,158.44,152.97,156.43,47574200
PLTR,2026-03-10,155.99,156.657,150.14,151.14,47501400
PLTR,2026-03-11,151.38,153.169,149.33,151.6,33955900
PLTR,2026-03-12,153.01,155.88,150.98,153.5,54409800
PLTR,2026-03-13,153.1901,154.56,148.5801,150.95,42460572
SOFI,2026-02-17,19.41,19.84,19.11,19.51,49681800
SOFI,2026-02-18,19.47,20.01,19.225,19.54,59588800
SOFI,2026-02-19,19.33,19.48,18.97,19.3,53391100
SOFI,2026-02-20,19.085,19.19,18.515,19.02,68549800
SOFI,2026-02-23,18.73,18.755,17.58,18.22,82932900
SOFI,2026-02-24,18.0,18.71,17.89,18.66,62839300
SOFI,2026-02-25,19.28,19.62,18.93,19.29,67462500
SOFI,2026-02-26,19.19,19.56,18.97,19.1,69888000
SOFI,2026-02-27,18.16,18.21,17.31,17.76,115602700
SOFI,2026-03-02,17.145,18.41,16.8,18.39,74612700
SOFI,2026-03-03,18.0,19.04,17.69,18.61,71879300
SOFI,2026-03-04,19.06,19.28,18.61,18.7,62745900
SOFI,2026-03-05,18.65,19.48,18.64,19.25,68834400
SOFI,2026-03-06,18.485,19.245,18.12,18.9,76383800
SOFI,2026-03-09,18.33,18.945,17.77,18.79,75562800
SOFI,2026-03-10,18.92,19.025,18.04,18.29,62077100
SOFI,2026-03-11,18.39,18.85,17.97,18.53,59435000
SOFI,2026-03-12,18.22,18.55,17.62,17.7,63114900
SOFI,2026-03-13,17.8,18.15,17.53,17.76,56401650
AMD,2026-02-17,202.15,205.3,194.83,203.08,33712100
AMD,2026-02-18,198.41,203.2,195.0,200.12,35664100
AMD,2026-02-19,200.11,204.1,198.29,203.37,25842300
AMD,2026-02-20,200.12,204.87,198.56,200.15,36317300
AMD,2026-02-23,198.09,199.38,194.15,196.6,28187900
AMD,2026-02-24,211.63,216.71,206.5,213.84,81367000
AMD,2026-02-25,214.82,216.7,210.33,210.86,44588100
AMD,2026-02-26,208.8,209.79,201.46,203.68,35020500
AMD,2026-02-27,200.11,201.89,197.74,200.21,31312400
AMD,2026-03-02,193.85,198.74,190.0,198.62,34120200
AMD,2026-03-03,191.46,193.64,188.22,190.95,37785700
AMD,2026-03-04,192.12,202.44,189.86,202.07,40912600
AMD,2026-03-05,197.77,203.79,194.88,199.45,36000700
AMD,2026-03-06,195.27,200.24,191.25,192.43,33913800
AMD,2026-03-09,189.36,202.97,189.02,202.68,38877200
AMD,2026-03-10,202.51,206.59,202.2,203.23,29139200
AMD,2026-03-11,205.11,209.21,203.63,204.83,23076400
AMD,2026-03-12,202.83,203.62,196.67,197.74,28886900
AMD,2026-03-13,198.115,199.68,192.27,193.39,27561888
NFLX,2026-02-17,76.92,77.87,75.3,77.0,35961500
NFLX,2026-02-18,77.32,78.32,76.28,77.99,29883100
NFLX,2026-02-19,77.75,78.7,76.59,77.0,30139200
NFLX,2026-02-20,76.61,78.85,76.4,78.67,32411300
NFLX,2026-02-23,77.79,77.83,75.01,76.02,38363000
NFLX,2026-02-24,75.73,78.12,75.21,78.04,33079100
NFLX,2026-02-25,79.43,83.12,79.25,82.7,69319300
NFLX,2026-02-26,83.2,86.5,82.8,84.59,85642500
NFLX,2026-02-27,94.3,96.75,90.58,96.24,200767000
NFLX,2026-03-02,95.26,98.07,95.2,97.09,79915400
NFLX,2026-03-03,96.01,98.46,95.33,97.7,59149000
NFLX,2026-03-04,97.11,99.75,96.99,98.66,52604300
NFLX,2026-03-05,98.5,100.19,98.1,99.17,53403000
NFLX,2026-03-06,99.33,99.88,97.4,99.02,41196300
NFLX,2026-03-09,97.7,98.94,96.58,98.32,48589000
NFLX,2026-03-10,97.81,98.49,96.29,96.94,41027200
NFLX,2026-03-11,97.41,98.0,94.69,94.89,33962900
NFLX,2026-03-12,94.86,95.4,93.87,94.31,34206900
NFLX,2026-03-13,94.55,95.6797,94.24,95.31,29876659
PYPL,2026-02-17,40.3777,41.4744,40.2481,40.6868,20342500
PYPL,2026-02-18,40.6469,41.6339,40.4675,41.3249,17925500
PYPL,2026-02-19,40.9809,41.6639,40.7267,41.604,24646900
PYPL,2026-02-20,41.4495,42.6808,41.3877,41.5243,23174000
PYPL,2026-02-23,40.9211,45.5521,40.4027,43.917,75619500
PYPL,2026-02-24,43.3637,47.8551,42.9001,46.8781,58557200
PYPL,2026-02-25,47.237,48.3536,46.3048,47.1772,42794100
PYPL,2026-02-26,47.3566,47.5859,44.3607,45.3926,48091800
PYPL,2026-02-27,45.6717,46.2799,45.2829,46.0705,23641200
PYPL,2026-03-02,44.6847,45.8163,44.5053,45.4923,17355300
PYPL,2026-03-03,44.595,46.8182,44.5252,46.24,22406400
PYPL,2026-03-04,46.05,47.33,45.93,46.75,14612800
PYPL,2026-03-05,46.485,47.915,46.485,47.64,18317700
PYPL,2026-03-06,47.17,47.73,46.355,46.97,15900100
PYPL,2026-03-09,46.05,46.526,44.96,46.16,18908300
PYPL,2026-03-10,45.61,45.82,44.81,45.02,17575900
PYPL,2026-03-11,45.45,46.14,44.8,45.57,13794100
PYPL,2026-03-12,45.3,46.074,44.34,44.36,15293100
PYPL,2026-03-13,44.23,45.25,44.1715,44.9,13962455
BAC,2026-02-17,52.7418,53.249,52.3242,52.4435,35542400
BAC,2026-02-18,52.6921,53.3086,52.4932,53.06,30698900
BAC,2026-02-19,51.6182,52.5131,51.5386,52.4734,47148600
BAC,2026-02-20,52.2347,52.7916,51.5386,52.7617,33552000
BAC,2026-02-23,52.543,52.9606,50.6039,50.7829,50602500
BAC,2026-02-24,50.4548,50.594,49.1919,50.1266,53062700
BAC,2026-02-25,50.0471,51.479,50.0272,51.3994,41375000
BAC,2026-02-26,51.5884,52.3739,51.4492,52.006,52418500
BAC,2026-02-27,50.7929,51.121,49.0428,49.5499,77728700
BAC,2026-03-02,48.5058,50.1366,48.3069,49.53,40595200
BAC,2026-03-03,48.4859,50.2261,48.2274,49.6891,51242900
BAC,2026-03-04,49.6095,50.1266,48.9334,50.0172,34208500
BAC,2026-03-05,49.5399,50.1465,49.0527,49.53,39073900
BAC,2026-03-06,48.55,48.7,47.62,48.64,47016000
BAC,2026-03-09,47.94,48.15,46.77,47.9,62752800
BAC,2026-03-10,48.28,49.15,47.6,48.56,50271100
BAC,2026-03-11,48.36,48.65,47.78,48.52,42185800
BAC,2026-03-12,47.7,47.78,46.79,47.13,58354500
BAC,2026-03-13,47.52,47.8201,46.655,46.72,33340859
